service_id,service_name,provider_name,service_description,description_spanish,address,phone,other_contact,link
1,SHARE Ministry Outreach,Turner Memorial AME Church,"First come, first serve: Open until food runs out 

Every other Friday at 12pm",Por orden de llegada: Abierto hasta que se acabe la comida. Viernes alternos a las 12h,"7201 16th Place Hyattsville, MD 20783",240-417-6012,301-408-0750 https://www.turner-ame.org/religious-organizations-mission-and-outreach,https://www.foodhelpline.org/directory/resources/cle82eqxt028u0d02rhk3vdo8
5,Mt. Jezreel Baptist Church,Mt. Jezreel Baptist Church,10:00 am–2:00 pm every month on the 1st Saturday,"De 10.00 a 14.00 h, el primer sábado de cada mes","420 University Blvd East, Silver Spring, MD 20901",301-461-4257,https://www.mtjezreel.com/,"https://www.foodhelpline.org/directory/resources/cle82fe8403kl0d02959zh6ts "
14,CCI-SILVER SPRING,"THE COMMUNITY CLINIC, INC.","CCI Health Services is a 501c(3) non-profit organization that brings 
high-quality, affordable healthcare to every patient during all stages of life.",CCI Health Services es una organización 501c(3) que ofrece asistencia sanitaria asequible y de alta calidad a todos los pacientes durante todas las etapas de la vida.,,301-585-1250,,https://cciweb.org/our-impact/
16,MARY'S CENTER DENTAL BUS,MARY'S CENTER FOR MATERNAL AND CHILD CARE INC.,"Mary's Center is demonstrating how improved access to prenatal and 
pediatric care, coupled with sensitivity to culture and family","El Mary Center es una organización que brinda servicios integrales de atención médica, social y educativa a personas y familias de bajos recursos y desatendidas, todo ello combinado con sensibilidad hacia la cultura y la familia.",,202-420-8021,,https://www.maryscenter.org/
17,"MOBILEMED LONG BRANCH COMMUNITY 
CENTER VAN",MOBILE MEDICAL CARE INC,"We provide accessible medical services for insured, uninsured, low-income, 
and Medicare/Medicaid-enrolled residents, building a healthier community.
","Proporcionamos servicios médicos accesibles a residentes asegurados, no asegurados, con bajos ingresos y afiliados a Medicare/Medicaid, para construir una comunidad más sana.",,301-493-2400,,https://mobilemedicalcare.org/
18,Adult Rehabilitation Center (ARC),The Salvation Army Maryland,"Provides emotional assistance for men who have lost the ability to cope with their 
problems and provide for themselves.

Services are available for men ages 21 to 65 seeking help with chemical and 
alcohol addictions.",El Programa de Recuperación de Adicciones de The Salvation Army en Maryland ofrece asistencia emocional y apoyo integral para hombres que han perdido la capacidad de hacer frente a sus problemas y proveer para sí mismos. Nuestros servicios están disponibles para hombres de entre 21 y 65 años que buscan ayuda con adicciones a sustancias químicas y alcohol.,"The Salvation Army Washington
Adult Rehabilitation Center
3304 Kenilworth Avenue
Hyattsville, MD 20781",301-277-7878,,"https://www.findhelp.org/the-salvation-army-maryland---hyattsville--
hyattsville-md--adult-rehabilitation-center-%2528arc%2529/
5356935822180352?postal=20783

https://www.salvationarmydcarc.org/"
19,Wellness & Recovery Centers,"On Our Own of Maryland, Inc.","Addiction & recovery, 12-step, mental health care, support network, peer support,
support groups, wellness and recovery action planning, nutrition and health workshops","On Our Own of Maryland, Inc. es una organización dedicada a empoderar a individuos en su camino hacia la recuperación y el bienestar mental. A través de la promoción, educación y servicios de apoyo integrales, nuestro objetivo es fomentar comunidades inclusivas donde las personas con desafíos de salud mental puedan prosperar. Nuestra organización ofrece una amplia gama de servicios, que incluyen apoyo para la recuperación de adicciones, programas de 12 pasos, atención de salud mental, apoyo de pares, grupos de apoyo, planificación de acciones de bienestar y recuperación (WRAP), y talleres de nutrición y salud. En On Our Own of Maryland, Inc., estamos comprometidos a promover la recuperación, la resiliencia y la esperanza para las personas que enfrentan desafíos de salud mental y adicción.","On Our Way of PG County, Inc.
5109 Baltimore Avenue
Hyattsville, MD 20781",240-533-7308,,"https://www.findhelp.org/on-our-own-of-maryland%252C-inc.--
hyattsville-md--wellness-%2526-recovery-centers/
6209350471254016?postal=20783"
20,Social Services,Ayuda,"The Ayuda Social Services team specializes in working with the immigrant community, in 
particular survivors of domestic violence, sexual assault, stalking, and human trafficking.

Ayuda Social Services provides trauma-informed, holistic case management, culturally 
specific counseling, and emotional accompaniment and advocacy to survivors of crime 
who live in DC, Maryland, and Virginia.

Our services are provided in multiple languages
All social services and programs are voluntary and at no cost
Social services participation does not require a legal case with Ayuda","El equipo de Servicios Sociales de Ayuda se enfoca en asistir a la comunidad inmigrante, específicamente a sobrevivientes de violencia doméstica, agresión sexual, acoso y trata de personas. Nuestros servicios incluyen manejo de casos informado por el trauma, asesoramiento culturalmente específico y apoyo emocional para los sobrevivientes que residen en DC, Maryland y Virginia. Ofrecemos nuestros servicios en varios idiomas y son proporcionados de manera voluntaria y gratuita. La participación en nuestros programas de servicios sociales no requiere estar involucrado en un caso legal con Ayuda.","D.C. Office
1990 K Street NW, Suite 500
Washington, DC 20006
Phone: 202-387-4848

Maryland Office
8757 Georgia Ave, Suite 800
Silver Spring, MD 20910
Phone: 240-594-0600",240-594-0600,,https://ayuda.com/new-social-services/
21,"
Healing Trauma & Addiction (Multiple Services)",Catholic Charities (Maryland),"Catholic Charities provides wide range of mental and behavioral health services for 
children, adults, and families. Through our programs we offer mental health screening,
 counseling, therapy, psychiatric rehabilitation, substance use disorder treatment, 
medication treatment and telehealth.","Catholic Charities ofrece una amplia gama de servicios de salud mental y conductual para niños, adultos y familias. A través de nuestros programas ofrecemos exámenes de salud mental, asesoramiento, terapia, rehabilitación psiquiátrica, tratamiento de trastornos por uso de sustancias, tratamiento farmacológico y telesalud.","320 Cathedral Street
Baltimore, MD 21201",667-600-2000,,https://cc-md.org/our-programs/healing-trauma-addiction/
22,"Clinical Services ","La Clinica del Pueblo

","La Clinica employs a team-based model of care. We believe that developing strong 
partnerships with our patients and their families is the best way to achieve and maintain 
health.","La Clínica del Pueblo se dedica a proporcionar servicios de atención médica integrales y culturalmente competentes a comunidades desatendidas en Maryland. Nuestra misión es mejorar la salud y el bienestar de individuos y familias, independientemente de su capacidad de pago, a través de un compromiso con la excelencia, la compasión y la defensa.

Nuestro alcance de servicios incluye atención primaria, pediatría, planificación familiar, manejo de enfermedades crónicas y servicios de laboratorio. Desde la atención preventiva hasta el tratamiento de enfermedades agudas y el manejo de condiciones crónicas, ofrecemos una amplia gama de servicios de atención médica adaptados para satisfacer las diversas necesidades de nuestra comunidad."," 2831 15th St NW Washington, 
DC 20009","202-462-4788 ",,"https://www.lcdp.org/programs-and-strategies/medical-services
https://www.lcdp.org/patients/request-an-appointment"
23,Mental Health and Substance Use Services and Programs,"La Clinica del Pueblo

","At La Clínica, we are committed to meeting all physical and behavioral health needs of 
our patients. Our holistic approach to care sees mental health as a vital component 
to healthy living.","En La Clínica, nos comprometemos a satisfacer todas las necesidades de salud física y conductual de nuestros pacientes. Nuestro enfoque holístico de la atención considera la salud mental como un componente vital para una vida sana."," 2831 15th St NW Washington, 
DC 20009","202-462-4788 ",,"https://www.lcdp.org/programs-and-strategies/mental-health-substance-use
https://www.lcdp.org/patients/request-an-appointment"
24,Community Health Action Services and Programs,"La Clinica del Pueblo

","Our Community Health Action (CHA) department identifies, educates, and engages 
members of the community through health promotion and wellness activities, women’s 
reproductive health and gender-based violence prevention, LGBTQ empowerment, 
HIV/AIDS testing, counseling and referral, and chronic disease management.","Nuestro departamento de Acción Sanitaria Comunitaria (CHA) identifica, educa e involucra a miembros de la comunidad mediante actividades de promoción de la salud y el bienestar salud reproductiva de la mujer y la prevención de la violencia de género, el empoderamiento de LGBTQ, pruebas de VIH/SIDA, asesoramiento y derivación, y gestión de enfermedades crónicas."," 2831 15th St NW Washington, 
DC 20009","202-462-4788 ",,"https://www.lcdp.org/programs-and-strategies/community-health-action
https://www.lcdp.org/patients/request-an-appointment"
25,"Nutrition Education, Produce Distribution, Fun Food Experience","Brighter Bites ","up to 3-year program for qualifying elementary schools and summer enrichment 
programs; mission is to create communities of health through fresh foods; always looking 
for partnerships and support for the program; relies heavily on volunteer participants ","Brighter Bites se dedica a mejorar los resultados de salud y empoderar a las familias mediante la provisión de educación en nutrición, acceso a productos frescos y experiencias alimentarias agradables. Su programa integral abarca hasta tres años, dirigido a escuelas primarias calificadas y programas de enriquecimiento de verano. Su misión es cultivar comunidades de salud a través de alimentos frescos. Buscan activamente asociaciones y apoyo para sus iniciativas y dependen en gran medida de la participación de voluntarios. A través de la educación en nutrición basada en evidencia y la distribución de productos frescos a comunidades desatendidas, junto con actividades atractivas como demostraciones de cocina y degustaciones de recetas, Brighter Bites tiene como objetivo inculcar hábitos alimenticios saludables de por vida y empoderar a las familias para que prioricen su salud y bienestar.","Rajni Sood Laurent, Brighter Bites DC Senior Program Manager, 
rajni.sood.laurent@brighterbites.org",,,https://brighterbites.org/
26,"Application for  SNAP, Cash, Medicaid & Energy Assistance Programs:",Prince George's County Department of Social Services,"If you are in in of financial assistance programs such as food, cash, or medical 
assistance, an application can be submitted online or in person.  ","El Departamento de Servicios Sociales del Condado de Prince George ofrece programas de asistencia esenciales a residentes necesitados, incluyendo SNAP (Programa de Asistencia Nutricional Suplementaria), asistencia en efectivo, Medicaid y programas de asistencia energética. Estos programas ofrecen apoyo en diversas formas, como alimentos, atención médica, beneficios en efectivo y asistencia con las facturas de energía.

Las personas que buscan asistencia financiera pueden presentar una solicitud para estos programas en línea o en persona. Ya sea que se necesite ayuda alimentaria, en efectivo o médica, el departamento se esfuerza por hacer que el proceso de solicitud sea accesible y sencillo para aquellos que lo necesitan. A través de estos programas, el departamento tiene como objetivo aliviar las cargas financieras y mejorar el bienestar de individuos y familias en la comunidad..","DHS Main Office
311 West Saratoga Street
Baltimore, MD 21201",800-332-6347,,"To apply online or to get more information, please visit our website 
https://mymdthink.maryland.gov/home/#/benefits"
27,"Organ, Eye, and Tissue Donation Education/Vendor Events",Infinite Legacy,"We will come table events you have in the community and also help sponsor an aspect 
of your event as well. We want to help make community gatherings possible and 
educational as possible.",Damos la bienvenida a eventos de mesa en la comunidad y también ayudar a patrocinar un aspecto de su evento también. Queremos ayudar a que las reuniones de la comunidad sean posibles y educativas como sea posible.,"Corporate Office
1730 Twin Springs Rd. Suite 200
Baltimore, MD 21227","410-242-7000 ",,infinitelegacy.org
28,Crisis Hotline,"Community Crisis Services, Inc

","The term crisis means many different things to different people. Services for a crisis can 
range from addressing the needs of the homeless, family conflicts, emotional difficulties 
and suicide attempts to large scale disaster response. Our counselors are available 24 
hours a day to listen and help.","Community Crisis Services, Inc. promueve nuestra Línea de Crisis para la Prevención de Crisis. Entendemos que el término crisis puede significar cosas diferentes para diferentes personas. Nuestros servicios para situaciones de crisis abarcan una amplia gama de necesidades, desde abordar la falta de hogar y conflictos familiares hasta dificultades emocionales e intentos de suicidio, así como brindar asistencia durante desastres a gran escala. Nuestros consejeros están disponibles las 24 horas del día para escuchar y ofrecer apoyo.","DIAL 2-1-1 For Information and referral
1-800-422-0009 – Maryland Youth Crisis Hotline
301-864-7130 – Suicide/Crisis Hotline
1-800-273-TALK (8255) – National Suicide Prevention Lifeline",,,https://www.communitycrisis.org/?page_id=1098
29,"Domestic Violence Services:
Family Violence Intervention Clinic (FAMVIC)
Survivor's Program
Abusers Intervention Program (VIP)
Anger Management Program
Programa De Services En Langley Park","Community Crisis Services, Inc

","Check website page for specific information on each program. In addition, 
call to speak to a counselor.","Community Crisis Services, Inc. ofrece una variedad de servicios para la violencia doméstica destinados a apoyar a individuos y familias afectadas por el abuso doméstico. Nuestras ofertas incluyen la Clínica de Intervención en Violencia Familiar (FAMVIC), el Programa para Sobrevivientes, el Programa de Intervención para Agresores (VIP), el Programa de Manejo de la Ira y el Programa de Servicios en Langley Park. Para obtener información detallada sobre cada programa, visite nuestro sitio web. Alternativamente, puede hablar directamente con un consejero llamando a nuestra línea directa.","Main Phone Number: 301-864-7095
P.O. BOX 149
HYATTSVILLE, MD 20781",301-731-1203,,https://www.communitycrisis.org/?page_id=1098#1549996250196-56651d5f-822d
30,Homeless Services,"Community Crisis Services, Inc

","Community Crisis Services, Inc. Coordinates shelter placements to Prince George’s 
County shelters. Shelters are available to men, women & children. Our shelter diversion 
program helps individuals and families identify other resources to help them stay in their 
current living situation before they become homeless.","Community Crisis Services, Inc. Coordina las colocaciones de refugio a Condado de Prince George. Los refugios están disponibles para hombres, mujeres y niños. Nuestro programa ayuda a las personas y familias a identificar otros recursos para ayudarles a permanecer en su situación de vida actual antes de que se conviertan en personas sin hogar."," ",888-731-0999,,https://www.communitycrisis.org/?page_id=1098#1462406111928-669ebdb4-e2aa
31,Latino Legal Access Clinic,"Community Legal Services of Prince Georges County, Inc.","We provide brief advice to self-represented litigants. Bilingual staff is 
available. Income eligible clients, including domestic violence victims, 
may be referred to a lawyer for representation through this program.",El Programa de Asistencia para Medicamentos Recetadas ayuda a pacientes que califican y que no tienen cobertura de medicamentos con receta a obtener los medicamentos que necesitan a través del programa que les convenga. Muchos recibirán sus medicamentos de forma gratuita o casi gratis.,,240-391-6532,,https://www.clspgc.org/what-we-do/clinics/
32,Workers' Rights Legal Clinic,"Community Legal Services of Prince Georges County, Inc.","CLS provides brief legal advice and referrals in employment law matters 
and assistance in collecting unpaid wages. Staff members speak 
Spanish and English.
","Langley Park Walk In Medical es una clínica médica de acceso directo y asequible dedicada a proporcionar servicios de atención médica accesibles a individuos y familias en la comunidad. Sin necesidad de cita previa, los pacientes pueden recibir atención médica rápida a tarifas razonables. Nuestra clínica se esfuerza por garantizar que la atención médica de calidad esté al alcance de todos, independientemente de las limitaciones financieras, lo que nos convierte en un recurso confiable para soluciones de atención médica asequibles.",,240-391-6532,,https://www.clspgc.org/what-we-do/clinics/
33,Family Law Clinic for the Self-Represented,"Community Legal Services of Prince Georges County, Inc.","CLS provides brief advice to self-represented litigants. CLS 
staff lawyers may not represent litigants. Clients may be 
referred to our Lawyer Referral Program for services. Legal 
matters handled include family law, domestic violence, 
guardianship of disabled adults, small claims and tenant matters.","Desde 1983, La Clínica del Pueblo ha estado abordando las distintas necesidades de salud de nuestra comunidad a través de una atención médica primaria integral con servicios complementarios en todo el espectro de la vida; tratamiento de salud mental y uso de sustancias; interpretación médica y promoción del acceso al idioma; salud comunitaria, incluida la educación sobre salud y espacios seguros; y estrategias de defensa para aumentar la inclusión y la equidad en salud para los inmigrantes latinos.",,"240-391-6370

",,https://www.clspgc.org/what-we-do/clinics/
34,Housing Legal Assistance,CASA | Maryland Legal Services,"Eviction Prevention: CASA provides representation to individuals facing 
eviction, as well as pre-eviction intervention to resolve other 
housing-related issues (poor conditions, illegal fees, etc.). 
The legal team can also provide advice and guidance on other 
housing-related matters. If you are facing imminent eviction from 
your home, please call 240-553-8970.",CCI Health Services es una organización 501c(3) que ofrece asistencia sanitaria asequible y de alta calidad a todos los pacientes durante todas las etapas de la vida.,"8151 15th Ave
Langley Park, MD 20783","240-553-8970
","Multicultural Center (MCC)
Prince George's Welcome Center: 
(301) 431-4185",https://wearecasa.org/legal-services-md/
35,Employment Legal Assistance,CASA | Maryland Legal Services,"Wage Theft: If you have been the victim of wage theft (where your employer
 has not paid you properly for work you performed), call CASA’s legal 
hotline at 1-866-765-2272. CASA’s Legal Department will text you or return 
your call. If you are eligible, we may be able to help you recover your lost wages.","El Mary Center es una organización que brinda servicios integrales de atención médica, social y educativa a personas y familias de bajos recursos y desatendidas, todo ello combinado con sensibilidad hacia la cultura y la familia.","8151 15th Ave
Langley Park, MD 20783",866-765-2272,"Multicultural Center (MCC) 
Prince George's Welcome Center: 
(301) 431-4185",https://wearecasa.org/legal-services-md/
36,Immigration Legal Assistance,CASA | Maryland Legal Services,"CASA provides our members with free immigration legal consultations. To 
schedule an appointment, call 1-866-765-2272 and someone from CASA’s 
Legal Department will text or return your call to schedule an appointment. 
CASA does not guarantee that we will be able to provide individual representation
 to members after the consultation, but we will make every effort to provide an 
appropriate referral in cases we are unable to take on for full representation.","El Mary Center es una organización que brinda servicios integrales de atención médica, social y educativa a personas y familias de bajos recursos y desatendidas, todo ello combinado con sensibilidad hacia la cultura y la familia.","8151 15th Ave
Langley Park, MD 20783",866-765-2272,"Multicultural Center (MCC)
Prince George's Welcome Center: 
(301) 431-4185",https://wearecasa.org/legal-services-md/
51,"Refugee Employment 
Services","Lutheran Social Services of the 
National Capital Area (LSS/NCA)","Free services include:
- Job placement
- Orientation workshops
- Vocational trainings
- Help looking for jobs","Los servicios gratuitos incluyen:
- Inserción laboral
- Talleres de orientación
- Formación profesional
- Ayuda en la búsqueda de empleo","3799 East-West Highway
Hyattsville, MD 20782",240-714-4034,,"https://www.findhelp.org/lutheran-social-services-of-the-national-
capital-area-%2528lss-nca%2529--hyattsville-md--refugee-
employment-services/5754599821017088?postal=20783

https://www.facebook.com/lssnca?fref=ts"
37,Deferred Action for Childhood Arrivals (DACA),CASA | Maryland Legal Services,"CASA is the number one non-profit provider in Maryland for individuals seeking 
Deferred Action for Childhood Arrivals program (DACA). If you need to renew 
your DACA or have questions regarding the DACA program, please call Emily 
Sullivan at 240-491-5764 to make an appointment. If we are unable to answer 
the phone, please leave a detailed message with your name, phone number, 
and any relevant case details and we will get back to you. Please note, USCIS 
recommends that you renew your DACA 4-5 months before your expiration date.","Proporcionamos servicios médicos accesibles a residentes asegurados, no asegurados, con bajos ingresos y afiliados a Medicare/Medicaid, para construir una comunidad más sana.","8151 15th Ave
Langley Park, MD 20783",240-491-5764,"Multicultural Center (MCC) 
Prince George's Welcome Center: 
(301) 431-4185","https://wearecasa.org/legal-services-md/

"
38,Legal Services,Hebrew Immigrant Aid Society (HIAS) - Maryland,"As refugees’ access to protection is increasingly restricted, HIAS’ U.S. 
legal program seeks to safeguard and increase rights for refugees and 
other displaced people upon their arrival to the U.S. and throughout their
 journey to citizenship.",El Programa de Recuperación de Adicciones de The Salvation Army en Maryland ofrece asistencia emocional y apoyo integral para hombres que han perdido la capacidad de hacer frente a sus problemas y proveer para sí mismos. Nuestros servicios están disponibles para hombres de entre 21 y 65 años que buscan ayuda con adicciones a sustancias químicas y alcohol.,"HIAS Headquarters
1300 Spring Street, Suite 500
Silver Spring, MD 20910",301-844-7903,,"https://hias.org/

https://www.findhelp.org/hebrew-immigrant-
aid-society-%2528hias%2529---maryland--
silver-spring-md--legal-services/
5496719142027264?postal=20783"
39,Legal Aid,Maryland Legal Aid (MLA),"provides a full range of free and reduced-cost civil legal services to 
financially qualified Marylanders and people over the age of 60.
(Disable rights, immigration, helath, housing, civil rights, family)","On Our Own of Maryland, Inc. es una organización dedicada a empoderar a individuos en su camino hacia la recuperación y el bienestar mental. A través de la promoción, educación y servicios de apoyo integrales, nuestro objetivo es fomentar comunidades inclusivas donde las personas con desafíos de salud mental puedan prosperar. Nuestra organización ofrece una amplia gama de servicios, que incluyen apoyo para la recuperación de adicciones, programas de 12 pasos, atención de salud mental, apoyo de pares, grupos de apoyo, planificación de acciones de bienestar y recuperación (WRAP), y talleres de nutrición y salud. En On Our Own of Maryland, Inc., estamos comprometidos a promover la recuperación, la resiliencia y la esperanza para las personas que enfrentan desafíos de salud mental y adicción.","Prince George's County Office
8401 Corporate Drive, Suite 200
Hyattsville, MD 20785",888-215-5316,,"https://www.findhelp.org/maryland-legal-aid-
%2528mla%2529--hyattsville-md--legal-aid/
5459044385947648?postal=20783

https://www.mdlab.org/get-help-services/"
40,"Youth Development & Wellness 
Care Navigation Services",Lutheran Social Services of the National Capital Area (LSS/NCA),"This program helps people who are 15 to 24 years old.
 - navigating the system
 - support network
 - one-on-one support 
 - advocacy & legal aid
","El equipo de Servicios Sociales de Ayuda se enfoca en asistir a la comunidad inmigrante, específicamente a sobrevivientes de violencia doméstica, agresión sexual, acoso y trata de personas. Nuestros servicios incluyen manejo de casos informado por el trauma, asesoramiento culturalmente específico y apoyo emocional para los sobrevivientes que residen en DC, Maryland y Virginia. Ofrecemos nuestros servicios en varios idiomas y son proporcionados de manera voluntaria y gratuita. La participación en nuestros programas de servicios sociales no requiere estar involucrado en un caso legal con Ayuda.","Maryland Office
3799 East-West Highway
Hyattsville, MD 20782",240-714-4034,,"https://www.facebook.com/lssnca?fref=ts

https://www.findhelp.org/lutheran-social-services-of-the-national
-capital-area-%2528lss-nca%2529--hyattsville-md--youth-
development-%2526-wellness---care-navigation-services/
4580884269498368?postal=20783"
41,Initial Legal Consultation (Cost: $75),"CARECEN, Central American Resource Center","Do you need help with an immigration matter?
Our team of attorneys and accredited representatives provide direct services in the following areas:
? Family-based immigration applications and consular processing
? Humanitarian applications (victims of crime, domestic violence, trafficking)
? Adjustments of status to permanent residence and waivers
? Naturalization (citizenship)
? Brief services including renewal for green cards, Temporary Protected Status, work authorization, and Deferred Action for Childhood Arrivals (DACA)
By meeting with an attorney for an initial legal consultation, they will be able to listen and assess your individual situation, review your needs and eligibility, and determine how best to offer assistance. The attorney may then develop a plan of action and create a contract for additional scope as required.","Catholic Charities ofrece una amplia gama de servicios de salud mental y conductual para niños, adultos y familias. A través de nuestros programas ofrecemos exámenes de salud mental, asesoramiento, terapia, rehabilitación psiquiátrica, tratamiento de trastornos por uso de sustancias, tratamiento farmacológico y telesalud.","1460 Columbia Road NW, Suite C-1
Washington, DC 20009",202-328-9799,,https://carecendc.org/immigration/
42,"Various Housing Help (Individual Counseling, Educational Workshops, Technical Assistance for Tenant Groups","CARECEN, Central American Resource Center","Improving living conditions, seeking better access to affordable housing, and increasing home ownership and asset creation among Latino families.","La Clínica del Pueblo se dedica a proporcionar servicios de atención médica integrales y culturalmente competentes a comunidades desatendidas en Maryland. Nuestra misión es mejorar la salud y el bienestar de individuos y familias, independientemente de su capacidad de pago, a través de un compromiso con la excelencia, la compasión y la defensa.

Nuestro alcance de servicios incluye atención primaria, pediatría, planificación familiar, manejo de enfermedades crónicas y servicios de laboratorio. Desde la atención preventiva hasta el tratamiento de enfermedades agudas y el manejo de condiciones crónicas, ofrecemos una amplia gama de servicios de atención médica adaptados para satisfacer las diversas necesidades de nuestra comunidad.","1460 Columbia Road NW, Suite C-1
Washington, DC 20009",202-328-9799,,https://carecendc.org/housing/
43,"Various Citizenship Services (Classes ($50 per class), and other services","CARECEN, Central American Resource Center",Removing barriers and preparing applicants to become naturalized citizens. Offering guidance up to and through the citizenship oath ceremony and celebrating successful civic participation.,"En La Clínica, nos comprometemos a satisfacer todas las necesidades de salud física y conductual de nuestros pacientes. Nuestro enfoque holístico de la atención considera la salud mental como un componente vital para una vida sana.","1460 Columbia Road NW, Suite C-1
Washington, DC 20009",202-328-9799,,https://carecendc.org/citizenship/
